V1,V2,V3b,PapIV,KIC,HB,DV,Per,e_Per,BJD0,e_BJD0,Morph,GLON,GLAT,Kpmag,Teff,SC,LC,TS,Simbad,_RA.icrs,_DE.icrs
0.0,0.0,1.0,1.0,10802917,0.0,b'',0.2724524,2e-07,54999.905793,0.014633,0.74,80.7883,12.9495,15.867,4937.0,b'False',b'LC',b'TS',b'Simbad',294.1082,48.1845
1.0,1.0,1.0,1.0,03832382,0.0,b'',0.2726487,2e-07,54964.603149,0.014831,0.75,69.4296,14.9544,15.691,4454.0,b'False',b'LC',b'TS',b'Simbad',285.2459,38.9833
1.0,1.0,1.0,1.0,07697065,0.0,b'',0.2727656,2e-07,54964.749102,0.013198,0.7,77.1682,9.3134,15.115,5126.0,b'False',b'LC',b'TS',b'Simbad',296.37,43.3523
1.0,1.0,1.0,1.0,09760531,0.0,b'',0.2727979,2e-07,54953.906065,0.016139,1.0,77.1273,16.8249,9.54,6742.0,b'True',b'LC',b'TS',b'Simbad',286.7489,46.539
0.0,0.0,1.0,1.0,05956588,0.0,b'',0.2729067,2e-07,55001.906729,0.018724,0.83,73.2661,12.1578,15.833,5202.0,b'False',b'LC',b'TS',b'Simbad',290.584,41.2353
1.0,1.0,1.0,1.0,03743834,0.0,b'',0.2736148,2e-07,54964.543136,0.016525,0.76,71.0807,11.1568,14.076,4889.0,b'True',b'LC',b'TS',b'Simbad',290.546,38.8727
0.0,0.0,1.0,1.0,09935311,0.0,b'',0.2737752,2e-07,55001.838876,0.030067,0.82,76.5392,19.1823,14.344,4455.0,b'False',b'LC',b'TS',b'Simbad',283.2455,46.8511
1.0,1.0,1.0,1.0,11704155,0.0,b'',0.2738674,2e-07,54953.604573,0.016543,0.94,80.4473,17.9077,12.6,5118.0,b'False',b'LC',b'TS',b'Simbad',286.9819,49.8839
0.0,0.0,1.0,1.0,02448320,0.0,b'',0.2741085,2e-07,55002.065503,0.015835,0.93,70.7351,9.2544,15.858,5160.0,b'False',b'LC',b'TS',b'Simbad',292.5189,37.7161
0.0,0.0,1.0,1.0,07335517,0.0,b'',0.2745039,2e-07,55001.920777,0.012738,0.98,72.0625,19.5456,15.75,10758.0,b'True',b'LC',b'TS',b'Simbad',280.7781,42.9883
0.0,0.0,1.0,1.0,08739802,0.0,b'',0.2745129,2e-07,55001.999865,0.014498,0.93,75.2495,17.1308,14.882,5002.0,b'False',b'LC',b'TS',b'Simbad',285.3891,44.9836
1.0,1.0,1.0,1.0,04385109,0.0,b'',0.2746477,2e-07,54964.667954,0.016078,0.9,73.6506,7.4831,15.133,4739.0,b'False',b'LC',b'TS',b'Simbad',296.2591,39.4214
1.0,1.0,1.0,1.0,04563150,0.0,b'',0.2747205,2e-07,54964.769475,0.016743,0.8,72.3477,10.4208,13.997,4865.0,b'False',b'LC',b'TS',b'Simbad',292.1115,39.6613
0.0,0.0,1.0,1.0,05104097,0.0,b'',0.2753953,2e-07,55000.035311,0.016989,0.87,73.2338,9.9442,15.447,6224.0,b'False',b'LC',b'TS',b'Simbad',293.1817,40.2221
1.0,1.0,1.0,1.0,09772642,0.0,b'',0.2754317,2e-07,54953.633778,0.016441,0.8,78.8888,13.1018,13.547,4927.0,b'False',b'LC',b'TS',b'Simbad',292.7036,46.5895
0.0,0.0,1.0,1.0,08624778,0.0,b'',0.2762617,3.1e-06,55000.117411,0.015918,0.81,76.87,12.8816,17.71,6001.0,b'False',b'LC',b'TS',b'Simbad',291.7674,44.7213
