KIC,T1,e_T1,T2,e_T2,R1_D,e_R1_D,R2_R1,e_R2_R1,T2_T1,Qual,Src,KIS,T1j,T2j,R2_R1j,T1k1,T2k1,R2_R1k1,Simbad,_RA,_DE
5394544.0,6329.0,367.0,5555.0,566.0,4.14e-11,4.47e-12,0.782,0.275,0.872,b'00000',b'1100',1.0,6227.0,5470.0,0.715,6564.0,5675.0,0.869,b'Simbad',299.37277,40.583851
5398002.0,11907.0,587.0,7987.0,587.0,2.69e-11,2.61e-12,1.457,0.186,0.7,b'00010',b'1000',0.0,11907.0,7987.0,1.457,,,,b'Simbad',300.01501,40.52702
5425950.0,5559.0,354.0,3855.0,548.0,1.86e-11,1.8e-12,1.071,0.194,0.927,b'00000',b'0110',2.0,5965.0,5530.0,0.809,5572.0,3601.0,1.124,b'Simbad',283.05701,40.68819
5428668.0,6003.0,433.0,5648.0,1046.0,1.33e-11,1.97e-12,0.719,0.249,0.7,b'00010',b'1100',1.0,6075.0,5821.0,0.709,5897.0,5633.0,0.723,b'Simbad',284.4447,40.693508
5435816.0,5798.0,375.0,6116.0,775.0,1.35e-11,2.03e-12,0.627,0.257,0.7,b'00010',b'1100',1.0,5732.0,6613.0,0.542,5872.0,5990.0,0.673,b'Simbad',287.62381,40.605469
5439790.0,6986.0,360.0,6833.0,564.0,3.04e-11,2.44e-12,0.771,0.201,0.973,b'00000',b'1110',2.0,6539.0,4698.0,0.967,6966.0,6800.0,0.649,b'Simbad',289.12061,40.65052
5440746.0,6670.0,416.0,6138.0,627.0,2.04e-11,2.41e-12,0.812,0.241,0.896,b'00000',b'1100',1.0,6419.0,6406.0,0.766,6767.0,6076.0,0.862,b'Simbad',289.42126,40.632671
5444392.0,5965.0,355.0,5726.0,548.0,8.21e-11,7.61e-12,0.804,0.251,0.961,b'00000',b'1001',3.0,6091.0,5814.0,0.846,3516.0,3528.0,0.621,b'Simbad',290.5174,40.696812
5450322.0,5823.0,596.0,5520.0,1032.0,1.91e-11,2.7e-12,0.776,0.283,0.966,b'00000',b'1000',0.0,5823.0,5520.0,0.776,,,,b'Simbad',292.41187,40.63612
5450814.0,4677.0,365.0,4435.0,651.0,2.27e-11,2.15e-12,0.624,0.215,0.7,b'00010',b'1100',1.0,4678.0,4345.0,0.564,4674.0,4489.0,0.683,b'Simbad',292.55685,40.638191
5456023.0,4875.0,353.0,4148.0,599.0,4.26e-11,2.59e-12,0.586,0.193,0.502,b'00000',b'1111',3.0,4841.0,4090.0,0.909,4843.0,4350.0,0.694,b'Simbad',294.03622,40.659191
